"","Name","Count"
"1235","Brynley",394
"1236","Celina",394
"1237","Deanna",394
"1238","Elia",394
"1239","Kaycee",394
"1240","Larissa",394
"1241","Ashtyn",393
"1242","Kourtney",393
"1243","Lillyanna",393
"1244","Nahla",393
"1245","Rebeca",393
"1246","Rylynn",392
"1247","Tyler",392
"1248","Ivana",391
"1249","Zoya",391
"1250","Anayah",390
"1251","Lorena",390
"1252","Abbie",388
"1253","Litzy",387
"1254","Marlie",387
"1255","Ashton",386
"1256","Dania",386
"1257","Izabelle",386
"1258","Susanna",386
"1259","Leena",384
"1260","Lianna",384
"1261","Aliyana",383
"1262","Meera",383
"1263","Arlette",382
"1264","Christiana",382
"1265","Jakayla",382
"1266","Mika",382
"1267","Giada",381
"1268","Luella",381
"1269","Kaley",380
"1270","Tia",380
"1271","Annabeth",379
"1272","Carsyn",379
"1273","Aida",378
"1274","Aubriana",378
"1275","Delia",378
"1276","Denver",377
"1277","Evelina",377
"1278","Yara",376
"1279","Annette",375
"1280","Eisley",375
"1281","Taraji",375
"1282","Belinda",374
"1283","Blessing",374
"1284","Eleanora",374
"1285","Destinee",373
"1286","Kyrie",373
"1287","Arleth",372
"1288","Haleigh",372
"1289","Leilah",372
"1290","Rowyn",371
"1291","Annaliese",370
"1292","Persephone",370
"1293","Aarya",369
"1294","Gisselle",369
"1295","Kaylen",369
"1296","Brisa",368
"1297","Flora",368
"1298","Kehlani",368
"1299","Betty",367
"1300","Maritza",367
"1301","Mayra",367
"1302","Saniya",367
"1303","Audra",366
"1304","Kinleigh",366
"1305","Marcella",365
